Date,Open,High,Low,Close,Adj Close,Volume
2019-10-21,123.4000015258789,126.31999969482422,123.06999969482422,125.38999938964844,124.02483367919922,1749000
2019-10-22,126.13999938964844,132.27000427246094,125.79000091552734,130.4199981689453,129.0000762939453,1727100
2019-10-23,129.80999755859375,131.75999450683594,128.50999450683594,130.60000610351562,129.17811584472656,1411300
2019-10-24,131.0,131.74000549316406,128.13999938964844,129.27000427246094,127.86260223388672,1176000
2019-10-25,129.25,131.47999572753906,128.41000366210938,129.8300018310547,128.41650390625,927100
2019-10-28,130.74000549316406,131.80999755859375,125.16000366210938,125.55000305175781,124.18309783935547,1684400
2019-10-29,124.52999877929688,128.30999755859375,124.04000091552734,127.12000274658203,125.73600006103516,1498300
2019-10-30,127.58999633789062,128.2100067138672,122.22000122070312,122.55000305175781,121.21575927734375,1550100
2019-10-31,122.12000274658203,123.30999755859375,119.0,123.0199966430664,121.6806411743164,1705800
2019-11-01,124.33999633789062,128.67999267578125,123.41000366210938,127.55999755859375,126.17121124267578,1509300
2019-11-04,129.9499969482422,136.99000549316406,129.94000244140625,136.05999755859375,134.57867431640625,3886400
2019-11-05,139.0,142.94000244140625,134.8300018310547,135.86000061035156,134.380859375,2920700
2019-11-06,134.6699981689453,136.2899932861328,131.52000427246094,133.57000732421875,132.11578369140625,1891800
2019-11-07,135.80999755859375,137.33999633789062,134.63999938964844,136.57000732421875,135.0831298828125,1983100
2019-11-08,135.77999877929688,135.99000549316406,133.25999450683594,134.99000549316406,133.5203094482422,1101200
2019-11-11,132.63999938964844,134.5800018310547,132.0,133.63999938964844,132.1850128173828,861800
2019-11-12,134.38999938964844,137.16000366210938,133.30999755859375,136.1300048828125,134.64791870117188,1143200
2019-11-13,135.22000122070312,135.6999969482422,132.0,133.5,132.04653930664062,982700
2019-11-14,133.82000732421875,134.9600067138672,132.16000366210938,132.3699951171875,130.9288330078125,1146800
2019-11-15,133.07000732421875,134.39999389648438,131.82000732421875,134.27999877929688,132.8180389404297,1056100
2019-11-18,133.00999450683594,133.36000061035156,131.60000610351562,133.1999969482422,131.7498016357422,905900
2019-11-19,133.1999969482422,133.1999969482422,129.17999267578125,129.6199951171875,128.2087860107422,1107300
2019-11-20,129.72000122070312,132.88999938964844,128.5399932861328,130.47000122070312,129.04953002929688,1150300
2019-11-21,131.47999572753906,131.47999572753906,128.52999877929688,130.74000549316406,129.31658935546875,1539700
2019-11-22,131.2899932861328,131.89999389648438,129.38999938964844,129.55999755859375,128.14942932128906,1318400
2019-11-25,129.42999267578125,131.10000610351562,128.27999877929688,131.0800018310547,129.6528778076172,1951100
2019-11-26,131.4199981689453,131.4199981689453,127.44999694824219,127.68000030517578,126.28990173339844,1578900
2019-11-27,127.97000122070312,130.39999389648438,127.31999969482422,130.17999267578125,128.76268005371094,1229900
2019-11-29,128.27000427246094,129.42999267578125,127.66999816894531,127.83999633789062,126.44815826416016,783900
2019-12-02,128.8300018310547,129.0,126.37999725341797,126.77999877929688,125.39970397949219,1356000
2019-12-03,125.19999694824219,125.27999877929688,122.63999938964844,123.48999786376953,122.14552307128906,1912700
2019-12-04,125.1500015258789,131.1699981689453,125.0,130.50999450683594,129.08909606933594,1836500
2019-12-05,131.1699981689453,131.30999755859375,127.4800033569336,128.30999755859375,126.91304016113281,1326900
2019-12-06,129.1199951171875,134.77000427246094,128.64999389648438,133.89999389648438,132.4421844482422,1558900
2019-12-09,132.13999938964844,134.1699981689453,131.22999572753906,133.19000244140625,131.7399139404297,1509000
2019-12-10,133.25999450683594,134.99000549316406,132.0399932861328,134.5500030517578,133.08509826660156,1458200
2019-12-11,134.49000549316406,136.6300048828125,133.88999938964844,136.19000244140625,134.70724487304688,1219600
2019-12-12,136.35000610351562,140.1999969482422,136.00999450683594,139.5500030517578,138.03067016601562,1436100
2019-12-13,140.8800048828125,141.66000366210938,138.52999877929688,139.99000549316406,138.46588134765625,1684100
2019-12-16,141.1699981689453,144.3800048828125,140.5399932861328,143.3699951171875,141.80906677246094,1899600
2019-12-17,143.36000061035156,145.1699981689453,142.85000610351562,144.02999877929688,142.46189880371094,1409600
2019-12-18,143.77999877929688,147.00999450683594,143.7100067138672,145.8699951171875,144.2818603515625,1798700
2019-12-19,145.5,147.5,144.86000061035156,147.2100067138672,145.60726928710938,1453900
2019-12-20,148.8300018310547,148.8300018310547,146.2899932861328,147.60000610351562,145.9930419921875,2637600
