Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,28414.640625,28547.349609375,28376.490234375,28538.439453125,28538.439453125,2893810000
2020-01-02,28638.970703125,28872.80078125,28627.76953125,28868.80078125,28868.80078125,3458250000
2020-01-03,28553.330078125,28716.310546875,28500.359375,28634.880859375,28634.880859375,3461290000
2020-01-06,28465.5,28708.01953125,28418.630859375,28703.380859375,28703.380859375,3674070000
2020-01-07,28639.1796875,28685.5,28565.279296875,28583.6796875,28583.6796875,3420380000
2020-01-08,28556.140625,28866.1796875,28522.509765625,28745.08984375,28745.08984375,3720890000
2020-01-09,28851.970703125,28988.009765625,28844.310546875,28956.900390625,28956.900390625,3638390000
2020-01-10,28977.51953125,29009.0703125,28789.099609375,28823.76953125,28823.76953125,3212970000
2020-01-13,28869.009765625,28909.91015625,28819.4296875,28907.05078125,28907.05078125,3456380000
2020-01-14,28895.5,29054.16015625,28872.26953125,28939.669921875,28939.669921875,3665130000
2020-01-15,28901.80078125,29127.58984375,28897.349609375,29030.220703125,29030.220703125,3716840000
2020-01-16,29131.94921875,29300.3203125,29131.94921875,29297.640625,29297.640625,3535080000
2020-01-17,29313.310546875,29373.619140625,29289.91015625,29348.099609375,29348.099609375,3698170000
2020-01-21,29269.05078125,29341.2109375,29146.470703125,29196.0390625,29196.0390625,4105340000
2020-01-22,29263.630859375,29320.19921875,29172.259765625,29186.26953125,29186.26953125,3619850000
2020-01-23,29111.01953125,29190.470703125,28966.98046875,29160.08984375,29160.08984375,3764860000
2020-01-24,29230.390625,29288.7890625,28843.310546875,28989.73046875,28989.73046875,3707130000
2020-01-27,28542.490234375,28671.7890625,28440.470703125,28535.80078125,28535.80078125,3823100000
2020-01-28,28594.279296875,28823.23046875,28575.75,28722.849609375,28722.849609375,3526720000
2020-01-29,28820.529296875,28944.240234375,28728.189453125,28734.44921875,28734.44921875,3584500000
2020-01-30,28640.16015625,28879.7109375,28489.759765625,28859.439453125,28859.439453125,3787250000
2020-01-31,28813.0390625,28813.0390625,28169.529296875,28256.029296875,28256.029296875,4527830000
2020-02-03,28319.650390625,28630.390625,28319.650390625,28399.810546875,28399.810546875,3757910000
2020-02-04,28696.740234375,28904.880859375,28696.740234375,28807.630859375,28807.630859375,3995320000
2020-02-05,29048.73046875,29308.890625,29000.849609375,29290.849609375,29290.849609375,4117730000
2020-02-06,29388.580078125,29408.05078125,29246.9296875,29379.76953125,29379.76953125,3868370000
2020-02-07,29286.919921875,29286.919921875,29056.98046875,29102.509765625,29102.509765625,3730650000
2020-02-10,28995.66015625,29278.0703125,28995.66015625,29276.8203125,29276.8203125,3450350000
2020-02-11,29390.7109375,29415.390625,29210.470703125,29276.33984375,29276.33984375,3760550000
2020-02-12,29406.75,29568.5703125,29406.75,29551.419921875,29551.419921875,3926380000
2020-02-13,29436.029296875,29535.400390625,29345.9296875,29423.310546875,29423.310546875,3498240000
2020-02-14,29440.470703125,29463.0390625,29283.1796875,29398.080078125,29398.080078125,3398040000
2020-02-18,29282.779296875,29330.16015625,29116.810546875,29232.189453125,29232.189453125,3746720000
2020-02-19,29312.69921875,29409.08984375,29274.380859375,29348.029296875,29348.029296875,3600150000
2020-02-20,29296.25,29368.44921875,28959.650390625,29219.98046875,29219.98046875,4007320000
2020-02-21,29146.529296875,29146.529296875,28892.69921875,28992.41015625,28992.41015625,3899270000
2020-02-24,28402.9296875,28402.9296875,27912.439453125,27960.80078125,27960.80078125,4842960000
2020-02-25,28037.650390625,28149.19921875,26997.619140625,27081.359375,27081.359375,5591510000
2020-02-26,27159.4609375,27542.779296875,26890.970703125,26957.58984375,26957.58984375,5478110000
2020-02-27,26526.0,26775.310546875,25752.8203125,25766.640625,25766.640625,66498130000
2020-02-28,25270.830078125,25494.240234375,24681.009765625,25409.359375,25409.359375,8563850000
2020-03-02,25590.509765625,26706.169921875,25391.9609375,26703.3203125,26703.3203125,6376400000
2020-03-03,26762.470703125,27084.58984375,25706.279296875,25917.41015625,25917.41015625,6355940000
2020-03-04,26383.6796875,27102.33984375,26286.310546875,27090.859375,27090.859375,5035480000
2020-03-05,26671.919921875,26671.919921875,25943.330078125,26121.279296875,26121.279296875,5575550000
2020-03-06,25457.2109375,25994.380859375,25226.619140625,25864.779296875,25864.779296875,6552140000
2020-03-09,24992.359375,24992.359375,23706.0703125,23851.01953125,23851.01953125,8423050000
2020-03-10,24453.0,25020.990234375,23690.33984375,25018.16015625,25018.16015625,7635960000
2020-03-11,24604.630859375,24604.630859375,23328.3203125,23553.220703125,23553.220703125,7374110000
2020-03-12,22184.7109375,22837.94921875,21154.4609375,21200.619140625,21200.619140625,8829380000
2020-03-13,21973.8203125,23189.759765625,21285.369140625,23185.619140625,23185.619140625,8258670000
2020-03-16,20917.529296875,21768.279296875,20116.4609375,20188.51953125,20188.51953125,7781540000
2020-03-17,20487.05078125,21379.349609375,19882.259765625,21237.380859375,21237.380859375,8358500000
2020-03-18,20188.689453125,20489.330078125,18917.4609375,19898.919921875,19898.919921875,8755780000
2020-03-19,19830.009765625,20442.630859375,19177.130859375,20087.189453125,20087.189453125,7946710000
2020-03-20,20253.150390625,20531.259765625,19094.26953125,19173.98046875,19173.98046875,9044690000
2020-03-23,19028.359375,19121.009765625,18213.650390625,18591.9296875,18591.9296875,7402180000
2020-03-24,19722.189453125,20737.69921875,19649.25,20704.91015625,20704.91015625,7547350000
2020-03-25,21050.33984375,22019.9296875,20538.33984375,21200.55078125,21200.55078125,8285670000
2020-03-26,21468.380859375,22595.060546875,21427.099609375,22552.169921875,22552.169921875,7753160000
2020-03-27,21898.470703125,22327.5703125,21469.26953125,21636.779296875,21636.779296875,6194330000
2020-03-30,21678.220703125,22378.08984375,21522.080078125,22327.48046875,22327.48046875,5746220000
2020-03-31,22208.419921875,22480.369140625,21852.080078125,21917.16015625,21917.16015625,6568290000
2020-04-01,21227.380859375,21487.240234375,20784.4296875,20943.509765625,20943.509765625,5947900000
2020-04-02,20819.4609375,21477.76953125,20735.01953125,21413.439453125,21413.439453125,6454990000
2020-04-03,21285.9296875,21447.810546875,20863.08984375,21052.529296875,21052.529296875,6087190000
2020-04-06,21693.630859375,22783.44921875,21693.630859375,22679.990234375,22679.990234375,6391860000
2020-04-07,23537.439453125,23617.240234375,22634.44921875,22653.859375,22653.859375,7040720000
2020-04-08,22893.470703125,23513.400390625,22682.990234375,23433.5703125,23433.5703125,5856370000
2020-04-09,23690.66015625,24008.990234375,23504.08984375,23719.369140625,23719.369140625,7880140000
2020-04-13,23698.9296875,23698.9296875,23095.349609375,23390.76953125,23390.76953125,5274310000
2020-04-14,23690.5703125,24040.580078125,23683.439453125,23949.759765625,23949.759765625,5567400000
2020-04-15,23600.720703125,23649.720703125,23233.3203125,23504.349609375,23504.349609375,5203390000
2020-04-16,23543.66015625,23598.080078125,23211.380859375,23537.6796875,23537.6796875,5179990000
2020-04-17,23817.150390625,24264.2109375,23817.150390625,24242.490234375,24242.490234375,5792140000
2020-04-20,24095.099609375,24108.689453125,23627.189453125,23650.439453125,23650.439453125,5220160000
2020-04-21,23365.25,23365.25,22941.880859375,23018.880859375,23018.880859375,5075830000
2020-04-22,23437.33984375,23613.099609375,23339.599609375,23475.8203125,23475.8203125,5049660000
2020-04-23,23543.08984375,23885.359375,23483.349609375,23515.259765625,23515.259765625,5756520000
2020-04-24,23628.240234375,23826.0,23417.6796875,23775.26953125,23775.26953125,5374480000
2020-04-27,23866.150390625,24207.650390625,23840.609375,24133.779296875,24133.779296875,5194260000
2020-04-28,24357.169921875,24512.240234375,24031.19921875,24101.55078125,24101.55078125,5672880000
2020-04-29,24490.369140625,24764.76953125,24453.990234375,24633.859375,24633.859375,6620140000
2020-04-30,24585.5703125,24585.5703125,24186.900390625,24345.720703125,24345.720703125,6523120000
2020-05-01,24120.779296875,24120.779296875,23645.30078125,23723.689453125,23723.689453125,4753160000
2020-05-04,23581.55078125,23769.560546875,23361.16015625,23749.759765625,23749.759765625,4723140000
2020-05-05,23958.880859375,24169.720703125,23868.91015625,23883.08984375,23883.08984375,5129590000
2020-05-06,23978.880859375,24054.58984375,23661.140625,23664.640625,23664.640625,4861920000
2020-05-07,23837.2109375,24094.619140625,23834.390625,23875.890625,23875.890625,5164640000
2020-05-08,24107.8203125,24349.900390625,24107.05078125,24331.3203125,24331.3203125,4857160000
2020-05-11,24256.44921875,24366.2109375,24070.220703125,24221.990234375,24221.990234375,4807320000
2020-05-12,24292.83984375,24382.08984375,23761.580078125,23764.779296875,23764.779296875,5107710000
